# OV11 structure-aware text dump: OV11.OVL
# format: <kind>|<offset>|<record>|<orig>/<slack>|<text>
#   N = code/pointer-referenced NUL string
#   S = complete gallery stream, including its CTRL0C style packet
# Edit payload text only; control packets are verified during rebuild.

N|0000cfc8|Plain[00]|9/6|ワンペア\n
N|0000cfd8|Plain[01]|9/6|ツーペア\n
N|0000cfe8|Plain[02]|13/2|スリーカード\n
N|0000cff8|Plain[03]|11/4|ストレート\n
N|0000d008|Plain[04]|11/4|フラッシュ\n
N|0000d018|Plain[05]|11/4|フルハウス\n
N|0000d028|Plain[06]|13/2|フォーカード\n
N|0000d038|Plain[07]|21/2|ストレートフラッシュ\n
N|0000d050|Plain[08]|29/2|ロイヤルストレートフラッシュ\n
N|0000d080|Plain[09]|34/5|１回５コイン　ポーカーをしますか？
N|0000d0a8|Plain[10]|36/3|１回１０コイン　ポーカーをしますか？
N|0000d0d0|Plain[11]|36/3|１回３０コイン　ポーカーをしますか？
N|0000d0f8|Plain[12]|38/1|１回１００コイン　ポーカーをしますか？
N|0000d140|Plain[13]|20/3|Ｃｏｉｎがありません
N|0000d158|Plain[14]|20/3|ゲームを続けますか？
N|0000d170|Plain[15]|30/1|ダブルアップゲームをしますか？
N|0000d2c8|Plain[16]|10/5|コイン購入
N|0000d2e8|Plain[17]|26/5|　　　　　　　　　ＥＸＩＴ
S|0000e2f0|ViewerTitle[18]|11/4|{CTRL0C:bb ff e5|モモ ２}
S|0000e300|ViewerDescription[19]|135/0|{CTRL0C:de b6 ff|田中久仁彦氏の手によるイメージイラスト。\nモモの制服の実際の色味が判る一枚。劇中と\nは若干異なり、純粋な黒を基調として描かれ\nている。}
S|0000e388|ViewerTitle[19]|11/4|{CTRL0C:bb ff e5|モモ １}
S|0000e398|ViewerDescription[20]|81/6|{CTRL0C:de b6 ff|Ｊｒ．のロングコート姿。ロングコートは\nＡ．Ｇ．Ｗ．Ｓ．搭乗時には脱いでいる。}
S|0000e3f0|ViewerTitle[20]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 ４}
S|0000e408|ViewerDescription[21]|163/4|{CTRL0C:de b6 ff|Ｊｒ．の全身設定画。貴重なコートを脱いだ\n姿。パンツの太股部分はファスナーによって\n着脱可能。絵には描かれていないが、腰の後\nろに対のホルスターがあるという設定。}
S|0000e4b0|ViewerTitle[21]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 ３}
S|0000e4c8|ViewerDescription[22]|116/3|{CTRL0C:de b6 ff|Ｊｒ．の表情設定画。田中氏へは「やんちゃ\n坊主のイメージ」と発注していたため、劇中\nよりも表情豊かに描かれている。}
S|0000e540|ViewerTitle[22]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 ２}
S|0000e558|ViewerDescription[23]|122/5|{CTRL0C:de b6 ff|田中久仁彦氏の手によるイメージイラスト。\n設定画よりもやや幼い感じに描かれている。\n手に持っている銃はＣＯＬＴ１９１１。}
S|0000e5d8|ViewerTitle[23]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 １}
S|0000e5f0|ViewerDescription[24]|167/0|{CTRL0C:de b6 ff|ケイオスの全身設定画。華奢な少年というコ\nンセプトによって描かれているため、腰がか\nなり細身。ケイオスは最初期からほぼデザイ\nンの変更なく決定稿に至ったキャラクター。}
S|0000e698|ViewerTitle[24]|15/0|{CTRL0C:bb ff e5|ケイオス ３}
S|0000e6a8|ViewerDescription[25]|155/4|{CTRL0C:de b6 ff|ケイオスの表情設定画。実際のポリゴンモデ\nルは、この絵の一つ前のラフ版をもとに制作\nされている。後期のデザイン故か、髪の毛の\nハネがかなり強調されている。}
S|0000e748|ViewerTitle[25]|15/0|{CTRL0C:bb ff e5|ケイオス ２}
S|0000e758|ViewerDescription[26]|118/1|{CTRL0C:de b6 ff|田中久仁彦氏の手によるイメージイラスト。\nケイオスのトレードマークでもあるグラブを\n強調したレイアウトになっている。}
S|0000e7d0|ViewerTitle[26]|15/0|{CTRL0C:bb ff e5|ケイオス １}
S|0000e7e0|ViewerDescription[27]|151/0|{CTRL0C:de b6 ff|シオンの表情設定画。このデザインに決定\nするまで、１０稿近いバージョンのシオン\nが存在する。ちなみに、眼鏡については最\n初からかける事が決まっていた。}
S|0000e878|ViewerTitle[27]|13/2|{CTRL0C:bb ff e5|シオン ３}
S|0000e888|ViewerDescription[28]|167/0|{CTRL0C:de b6 ff|シオンの全身設定画。プロジェクト最初期の\n頃に描かれたもので、この時点ではまだ首の\n周りのチョーカー（リボン状の首飾り）が描\nかれていない。チョーカーは田中氏の発案。}
S|0000e930|ViewerTitle[28]|13/2|{CTRL0C:bb ff e5|シオン ２}
S|0000e940|ViewerDescription[29]|166/1|{CTRL0C:de b6 ff|田中久仁彦氏の手によるイメージイラスト。\nＢ３のボード上にアクリルガッシュで描かれ\nている。イラストからシオンの制服は、やや\n黄色が強いクリーム色であることが判る。\n}
S|0000e9e8|ViewerTitle[29]|13/2|{CTRL0C:bb ff e5|シオン １}
