# OV11 structure-aware text dump: OV11.OVL
# format: <kind>|<offset>|<record>|<orig>/<slack>|<text>
#   N = code/pointer-referenced NUL string
#   S = complete gallery stream, including its CTRL0C style packet
# Edit payload text only; control packets are verified during rebuild.

N|0000cfc8|Plain[00]|9/6|원 페어\n
N|0000cfd8|Plain[01]|9/6|투 페어\n
N|0000cfe8|Plain[02]|13/2|쓰리 카드\n
N|0000cff8|Plain[03]|11/4|스트레이트\n
N|0000d008|Plain[04]|11/4|플러시\n
N|0000d018|Plain[05]|11/4|풀 하우스\n
N|0000d028|Plain[06]|13/2|포 카드\n
N|0000d038|Plain[07]|21/2|스트레이트 플러시\n
N|0000d050|Plain[08]|29/2|로열 스트레이트 플러시\n
N|0000d080|Plain[09]|34/5|１번에 ５코인，포커를 하겠습니까？
N|0000d0a8|Plain[10]|36/3|１번에 １０코인，포커를 하겠습니까？
N|0000d0d0|Plain[11]|36/3|１번에 ３０코인，포커를 하겠습니까？
N|0000d0f8|Plain[12]|38/1|１번에 １００코인，포커를 하겠습니까？
N|0000d140|Plain[13]|20/3|Ｃｏｉｎ이 없습니다
N|0000d158|Plain[14]|20/3|게임을 계속하겠습니까？
N|0000d170|Plain[15]|30/1|더블 업 게임을 하겠습니까？
N|0000d2c8|Plain[16]|10/5|　코인 구입
N|0000d2e8|Plain[17]|26/5|　　　　　　　　　ＥＸＩＴ
S|0000e0e0|ViewerTitle[15]|25/6|{CTRL0C:bb ff e5|\x19\x01코스모스\x19\x00 ２}
S|0000e100|ViewerDescription[16]|147/4|{CTRL0C:de b6 ff|다나카　쿠니히코의　이미지　일러스트．\n극　중에서는　전체적으로　옅은　파란색\n인상이　강하지만，정식　색상은\n펄　화이트를　기조로　한다．}
S|0000e198|ViewerTitle[16]|25/6|{CTRL0C:bb ff e5|\x19\x01코스모스\x19\x00 １}
S|0000e1b8|ViewerDescription[17]|139/4|{CTRL0C:de b6 ff|모모의　전신　설정화．교복풍으로\n그려　달라는　의뢰로　제작됐다．얼핏\n단순해　보이지만，등　부분은\n의외로　복잡한　디자인이다．}
S|0000e248|ViewerTitle[17]|11/4|{CTRL0C:bb ff e5|모모 ３}
S|0000e258|ViewerDescription[18]|145/6|{CTRL0C:de b6 ff|모모의　표정　설정화．정면　그림은\n쓸쓸한　표정이　많은　모모의　귀중한\n한　컷．머리　장식은　준비안이며，\n이후　장식만　변경됐다．}
S|0000e2f0|ViewerTitle[18]|11/4|{CTRL0C:bb ff e5|모모 ２}
S|0000e300|ViewerDescription[19]|135/0|{CTRL0C:de b6 ff|다나카　쿠니히코의　이미지　일러스트．\n모모의　교복　색상을　알　수　있다．\n극　중과　달리，순수한　검정이　기조다．}
S|0000e388|ViewerTitle[19]|11/4|{CTRL0C:bb ff e5|모모 １}
S|0000e398|ViewerDescription[20]|81/6|{CTRL0C:de b6 ff|Ｊｒ．의　롱　코트　차림．코트는\nＡ．Ｇ．Ｗ．Ｓ．에　탈　때는　벗는다．}
S|0000e3f0|ViewerTitle[20]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 ４}
S|0000e408|ViewerDescription[21]|163/4|{CTRL0C:de b6 ff|Ｊｒ．의　전신　설정화．코트를　벗은\n보기　드문　모습．바지　허벅지　부분은\n지퍼로　분리된다．그림에는　없지만，\n허리　뒤에　한　쌍의　홀스터가　있다．}
S|0000e4b0|ViewerTitle[21]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 ３}
S|0000e4c8|ViewerDescription[22]|116/3|{CTRL0C:de b6 ff|Ｊｒ．의　표정　설정화．다나카에게\n「개구쟁이　소년」으로　의뢰했기에，\n극　중보다　표정이　풍부하다．}
S|0000e540|ViewerTitle[22]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 ２}
S|0000e558|ViewerDescription[23]|122/5|{CTRL0C:de b6 ff|다나카　쿠니히코의　이미지　일러스트．\n설정화보다　조금　어리게　그려졌다．\n손에　든　총은　ＣＯＬＴ１９１１．}
S|0000e5d8|ViewerTitle[23]|17/6|{CTRL0C:bb ff e5|\x19\x01Ｊｒ．\x19\x00 １}
S|0000e5f0|ViewerDescription[24]|167/0|{CTRL0C:de b6 ff|케이오스의　전신　설정화．가냘픈\n소년이라는　콘셉트로　그려져，허리가\n상당히　가늘다．케이오스는　초기부터\n거의　변경　없이　결정본에　이르렀다．}
S|0000e698|ViewerTitle[24]|15/0|{CTRL0C:bb ff e5|케이오스 ３}
S|0000e6a8|ViewerDescription[25]|155/4|{CTRL0C:de b6 ff|케이오스의　표정　설정화．실제\n폴리곤　모델은　이　그림　직전의\n러프안을　바탕으로　제작됐다．후기\n디자인이라선지　머리칼　끝이　강조됐다．}
S|0000e748|ViewerTitle[25]|15/0|{CTRL0C:bb ff e5|케이오스 ２}
S|0000e758|ViewerDescription[26]|118/1|{CTRL0C:de b6 ff|다나카　쿠니히코의　이미지　일러스트．\n케이오스의　상징인　장갑을　강조한\n레이아웃으로　구성되어　있다．}
S|0000e7d0|ViewerTitle[26]|15/0|{CTRL0C:bb ff e5|케이오스 １}
S|0000e7e0|ViewerDescription[27]|151/0|{CTRL0C:de b6 ff|시온의　표정　설정화．이　디자인이\n결정되기까지　１０개　가까운　시안이\n있었다．참고로　안경은　처음부터\n쓰는　것으로　정해져　있었다．}
S|0000e878|ViewerTitle[27]|13/2|{CTRL0C:bb ff e5|시온 ３}
S|0000e888|ViewerDescription[28]|167/0|{CTRL0C:de b6 ff|시온의　전신　설정화．프로젝트\n극초기에　그려져，이때는　아직\n목의　초커（리본　모양　목걸이）가\n없다．초커는　다나카의　아이디어．}
S|0000e930|ViewerTitle[28]|13/2|{CTRL0C:bb ff e5|시온 ２}
S|0000e940|ViewerDescription[29]|166/1|{CTRL0C:de b6 ff|다나카　쿠니히코의　이미지　일러스트．\nＢ３　보드에　아크릴　과슈로　그렸다．\n시온의　제복은　다소　노란빛이\n강한　크림색임을　알　수　있다．}
S|0000e9e8|ViewerTitle[29]|13/2|{CTRL0C:bb ff e5|시온 １}
